# One line per accepted finding: file|defun|kind|detail
# Regenerate with: python3 tools/check_scope.py --update-baseline
lisp/abhd/abhd.lsp|c:abhd|setq-global|*error*
lisp/abhd/abhd.lsp|c:adab|setq-global|*error*
lisp/abhd/abhd.lsp|c:simpabhd|setq-global|*error*
lisp/abhd/abhd.lsp|c:tutorialabhd|setq-global|*error*
lisp/abhd/abhd.lsp|pf:add-point|setq|npt
lisp/abhd/abhd.lsp|pf:add-point|setq|pf-nmoved
lisp/abhd/abhd.lsp|pf:add-point|setq|pf-ptnames
lisp/abhd/abhd.lsp|pf:add-point|setq|pts
lisp/abhd/abhd.lsp|pf:ask-cap|setq-global|*pf-max-arcs*
lisp/abhd/abhd.lsp|pf:ask-slope|setq|pf-phase
lisp/abhd/abhd.lsp|pf:ask-slope|setq|slopemarks
lisp/abhd/abhd.lsp|pf:ask-tol|setq-global|*pf-tol*
lisp/abhd/abhd.lsp|pf:bottom-draw|setq|pf-phase
lisp/abhd/abhd.lsp|pf:bottom|setq-global|*pf-hop-off*
lisp/abhd/abhd.lsp|pf:bottom|setq|pf-phase
lisp/abhd/abhd.lsp|pf:compare|setq|pf-phase
lisp/abhd/abhd.lsp|pf:declare-corners|setq|pf-decl-marks
lisp/abhd/abhd.lsp|pf:declare-corners|setq|pf-phase
lisp/abhd/abhd.lsp|pf:declare-holds|setq|pf-decl-marks
lisp/abhd/abhd.lsp|pf:declare-holds|setq|pf-phase
lisp/abhd/abhd.lsp|pf:declare-walls|setq|pf-decl-marks
lisp/abhd/abhd.lsp|pf:declare-walls|setq|pf-phase
lisp/abhd/abhd.lsp|pf:dim-style|setq|pf-dim-warned
lisp/abhd/abhd.lsp|pf:edit-corners|setq|pf-corners
lisp/abhd/abhd.lsp|pf:edit-corners|setq|pf-phase
lisp/abhd/abhd.lsp|pf:edit-holds|setq|pf-holds
lisp/abhd/abhd.lsp|pf:edit-holds|setq|pf-phase
lisp/abhd/abhd.lsp|pf:edit-walls|setq|pf-phase
lisp/abhd/abhd.lsp|pf:edit-walls|setq|pf-walls
lisp/abhd/abhd.lsp|pf:fit-arc-seg|setq|pf-miss-left
lisp/abhd/abhd.lsp|pf:fit-session|setq|pf-phase
lisp/abhd/abhd.lsp|pf:guided-fit|setq|pf-miss-left
lisp/abhd/abhd.lsp|pf:has-arcs|foreach|s
lisp/abhd/abhd.lsp|pf:omit-loop|setq|pf-omitted
lisp/abhd/abhd.lsp|pf:prune-declared|setq|pf-corners
lisp/abhd/abhd.lsp|pf:prune-declared|setq|pf-holds
lisp/abhd/abhd.lsp|pf:prune-declared|setq|pf-walls
lisp/abhd/abhd.lsp|pf:sweep-marks|setq|pf-temp
lisp/abhd/abhd.lsp|pf:temp-add|setq|pf-temp
lisp/abhd/abhd.lsp|pf:temp-clear|setq|pf-temp
lisp/abhd/abhd.lsp|pf:temp-drop|setq|pf-temp
lisp/abhd/abhd.lsp|pf:tut-demo|setq|pf-phase
lisp/abhd/abhd.lsp|pf:tut-demo|setq|pf-temp
lisp/ablobf/ABLOBF.lsp|abl:add-point|setq|abl-numbered
lisp/ablobf/ABLOBF.lsp|abl:add-point|setq|abl-ptkeys
lisp/ablobf/ABLOBF.lsp|abl:add-point|setq|abl-ptnames
lisp/ablobf/ABLOBF.lsp|abl:add-point|setq|npt
lisp/ablobf/ABLOBF.lsp|abl:add-point|setq|pts
lisp/ablobf/ABLOBF.lsp|abl:ask-cap|setq-global|*abl-max-arcs*
lisp/ablobf/ABLOBF.lsp|abl:ask-tol|setq-global|*abl-tol*
lisp/ablobf/ABLOBF.lsp|abl:compare|setq|abl-phase
lisp/ablobf/ABLOBF.lsp|abl:edit-corners|setq|abl-corners
lisp/ablobf/ABLOBF.lsp|abl:edit-corners|setq|abl-phase
lisp/ablobf/ABLOBF.lsp|abl:edit-holds|setq|abl-holds
lisp/ablobf/ABLOBF.lsp|abl:edit-holds|setq|abl-phase
lisp/ablobf/ABLOBF.lsp|abl:edit-walls|setq|abl-phase
lisp/ablobf/ABLOBF.lsp|abl:edit-walls|setq|abl-walls
lisp/ablobf/ABLOBF.lsp|abl:omit-clear|setq|abl-omitted
lisp/ablobf/ABLOBF.lsp|abl:omit-loop|setq|abl-omitted
lisp/ablobf/ABLOBF.lsp|abl:prune-declared|setq|abl-corners
lisp/ablobf/ABLOBF.lsp|abl:prune-declared|setq|abl-holds
lisp/ablobf/ABLOBF.lsp|abl:prune-declared|setq|abl-walls
lisp/ablobf/ABLOBF.lsp|abl:sweep-marks|setq|abl-temp
lisp/ablobf/ABLOBF.lsp|abl:temp-add|setq|abl-temp
lisp/ablobf/ABLOBF.lsp|abl:temp-clear|setq|abl-temp
lisp/ablobf/ABLOBF.lsp|abl:temp-drop|setq|abl-temp
lisp/ablobf/ABLOBF.lsp|c:ablobf|setq-global|*error*
lisp/autobead/AUTOBEAD.lsp|autobead-say|foreach|l
lisp/cabhd/CABHD.lsp|c:cabhd|setq-global|*error*
lisp/cabhd/CABHD.lsp|cab:add-point|setq|cab-allpts
lisp/cabhd/CABHD.lsp|cab:add-point|setq|cab-nmoved
lisp/cabhd/CABHD.lsp|cab:add-point|setq|cab-numbered
lisp/cabhd/CABHD.lsp|cab:add-point|setq|cab-ptkeys
lisp/cabhd/CABHD.lsp|cab:add-point|setq|cab-ptnames
lisp/cabhd/CABHD.lsp|cab:add-point|setq|npt
lisp/cabhd/CABHD.lsp|cab:add-point|setq|pts
lisp/cabhd/CABHD.lsp|cab:ask-cap|setq-global|*cab-max-arcs*
lisp/cabhd/CABHD.lsp|cab:ask-tol|setq-global|*cab-tol*
lisp/cabhd/CABHD.lsp|cab:compare|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:declare-corners|setq|cab-decl-marks
lisp/cabhd/CABHD.lsp|cab:declare-corners|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:declare-holds|setq|cab-decl-marks
lisp/cabhd/CABHD.lsp|cab:declare-holds|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:declare-walls|setq|cab-decl-marks
lisp/cabhd/CABHD.lsp|cab:declare-walls|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:edit-corners|setq|cab-corners
lisp/cabhd/CABHD.lsp|cab:edit-corners|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:edit-holds|setq|cab-holds
lisp/cabhd/CABHD.lsp|cab:edit-holds|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:edit-walls|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:edit-walls|setq|cab-walls
lisp/cabhd/CABHD.lsp|cab:fit-arc-seg|setq|cab-miss-left
lisp/cabhd/CABHD.lsp|cab:guided-fit|setq|cab-miss-left
lisp/cabhd/CABHD.lsp|cab:has-arcs|foreach|s
lisp/cabhd/CABHD.lsp|cab:omit-loop|setq|cab-omitted
lisp/cabhd/CABHD.lsp|cab:prune-decls|setq|cab-corners
lisp/cabhd/CABHD.lsp|cab:prune-decls|setq|cab-holds
lisp/cabhd/CABHD.lsp|cab:prune-decls|setq|cab-walls
